comentario,sentimento
o tecnico velho entregou a zaga podre gigante,Negativo
o time fez pessimo pessimo,Negativo
aula o ataque hj o time,Positivo
amador mds jogou mt tava esse juiz cara rs,Negativo
horrivel monstro hj mds esse cara kkkk,Negativo
jogou mt o ataque a diretoria fez o time bagre,Negativo
esse juiz pqp a diretoria kkkk,Positivo
velho pqp craque velho velho pessimo,Negativo
lindo aula brabo esse juiz monstro hj,Positivo
assim amassou a diretoria,Positivo
a zaga cara pipocou esse cara pqp cara,Positivo
a diretoria entregou craque ??,Negativo
entregou o ataque,Negativo
hoje o jogo ruim o jogo voando,Positivo
o ataque monstro voando voando,Positivo
a zaga nada tudo cara meu deus ??,Negativo
pqp pipocou mano fez,Positivo
hj tava a zaga a zaga,Negativo
esse juiz craque assim rs,Negativo
oo jogoo vergonha oo ataque a zaga tudo...,Negativo
meu deus meu deus,Positivo
craque craque o tecnico mano mano,Positivo
podre slc tava brabo amador nada rs,Negativo
o ataque bagre podre hoje,Negativo
mds nada ruim esse cara o time,Negativo
hj bagre esse cara voando!!!,Negativo
tava horrivel jogou mt assim amassou,Negativo
horrivel ne hj tudo,Negativo
a zaga esse cara oo jogoo hoje,Positivo
cara esse cara o ataque o tecnico vergonha o ataque,Negativo
esse cara amador pessimo o jogo,Negativo
esse juiz brabo mds vergonha o jogo a zaga,Negativo
lindo a diretoria hoje vergonha,Negativo
ruim genio bagre,Negativo
horrivel podre voando vergonha o time,Negativo
nada ne,Negativo
o time o goleiro amassou,Positivo
pqp voando vergonha,Negativo
fez vergonha meu deus gigante craque o jogo,Negativo
o goleiro velho slc tudo slc,Negativo
ne fez velho assim o goleiro,Negativo
pipocou amador pqp pipocou assim o tecnico ??,Negativo
gigante ruim voando nada,Positivo
aula o goleiro o tecnico slc mano esse juiz,Negativo
vergonha brabo monstro,Positivo
o goleiro gigante,Positivo
brabo pipocou...,Positivo
gigante fez o jogo,Positivo
hj slc voandoo voandoo meu deus,Positivo
hj pipocou o ataque,Negativo
genio ruim,Negativo
hj amassou horrivel a zaga ne pipocou,Negativo
esse cara jogou mt pipocou velhoo podre,Negativo
mds manoo meu deus oo goleiroo esse cara!!!,Positivo
tava monstroo assim assim,Positivo
lixo meu deus amador brabo,Negativo
velho assim pipocou pipocou slc pqp,Negativo
a diretoria ne podre bagre,Negativo
brabo nada esse cara velho gigante fez,Positivo
o jogo slc horrivel hj,Negativo
meu deus a zaga,Positivo
bagre o tecnico nada o tecnico esse juiz hj,Negativo
meu deus o ataque mano,Positivo
lixo meu deus o tecnico,Negativo
pipocou gigante amador entregou!!!,Negativo
pipocou esse juiz kkkk,Negativo
o time a zaga,Negativo
amassou hoje,Positivo
ne velho horrivel,Positivo
o ataque velho bagre o tecnico,Positivo
braboo oo ataque,Positivo
voando jogou mt a diretoria slc,Positivo
meu deus o jogo assim,Positivo
pipocou tudo pqp esse cara nada,Negativo
monstro aula mds,Positivo
hoje velho,Negativo
bagre cara genio esse cara velho lixo,Negativo
o time lixo a diretoria hj gigante,Positivo
pessimo o tecnico hj o tecnico o tecnico pessimo rs,Negativo
hoje o goleiro o jogo o goleiro,Negativo
esse cara o goleiro meu deus voando hoje,Positivo
esse juiz tudoo esse juiz voandoo aula brabo,Positivo
pessimoo mds braboo a diretoria ruim kkkk,Positivo
o ataque brabo meu deus cara o ataque rs,Negativo
hoje pessimo,Negativo
podre mano tudo tudo mano o ataque!!!,Negativo
cara ruim,Negativo
hj ne hoje podre o tecnico,Negativo
lindoo lixoo slc genio,Positivo
lindo a zaga vergonha,Negativo
o jogo podre,Positivo
o tecnico monstro brabo o goleiro a zaga,Positivo
aula a zaga pessimo ??,Positivo
velho cara amassou ruim,Negativo
nada brabo hoje o jogo vergonha esse cara,Positivo
monstro o ataque fez,Positivo
pipocou cara o time amassou fez horrivel,Negativo
genio gigante,Positivo
oo ataque velhoo meu deus,Positivo
meu deus fez esse cara,Negativo
monstro bagre brabo mano!!!,Negativo
amador o jogo amassou lixo...,Negativo
o time o tecnico ne lixo fez rs,Positivo
ne slc amador brabo esse cara vergonha,Positivo
pipocou vergonha hj vergonha a diretoria hj,Negativo
ruim pessimo kkkk,Negativo
vergonha esse cara pipocou assim nada mds,Positivo
brabo assim a zaga horrivel bagre horrivel,Negativo
velho velho podre,Positivo
assim a diretoria hoje bagre cara rs,Negativo
oo ataque oo ataque hj a zaga esse juiz,Positivo
mds tava,Negativo
meu deus genioo esse juiz braboo oo jogo,Negativo
ruim cara genio monstro,Positivo
monstroo tava,Positivo
craque slc o time,Positivo
tava horrivel pipocou entregou a diretoria tudo,Negativo
pqp velhoo meu deus tava,Negativo
pqp fez ruim mds aula ??,Negativo
o tecnico voando cara pipocou ne vergonha,Negativo
horrivel monstro tava,Negativo
o jogo fez monstro,Positivo
pipocou o tecnico ruim velho rs,Positivo
esse juiz oo tecnicoo hj voando,Positivo
lixo fez pqp,Positivo
voando esse cara lindo bagre horrivel,Negativo
genio esse juiz aula o jogo!!!,Positivo
jogou mt meu deus,Positivo
o jogo o time,Negativo
pipocou ruim ne vergonha velho,Negativo
slc velho,Negativo
amassou slc o time,Positivo
brabo mds slc bagre,Negativo
hj amassou assim a zaga o time,Positivo
o time assim o goleiro hoje o tecnico pipocou,Negativo
a diretoria o jogo tudo velho slc,Positivo
velho o tecnico entregou esse cara,Negativo
horrivel fez ne bagre tava,Negativo
genio genio o time,Positivo
horrivel o jogo tava,Negativo
amador pessimo tava a zaga ruim pipocou,Negativo
aula amassou esse cara oo ataque,Positivo
entregou tudo pessimo,Negativo
meu deus tudo pipocou voando hj,Positivo
oo jogoo genio ??,Positivo
assim jogou mt pessimo,Positivo
ne o time o tecnico lindo,Positivo
o jogo fez o time amassou,Positivo
podre mano o jogo pessimo ruim meu deus...,Negativo
esse cara ruim esse cara,Positivo
fez o goleiro lixo,Positivo
lindoo craque pqp horrivel a zaga,Negativo
esse juiz o ataque lindo,Negativo
esse cara vergonha entregou cara,Negativo
mds lixo o time kkkk,Negativo
a zaga o time jogou mt rs,Positivo
aula pipocou hoje mds horrivel!!!,Negativo
velho a zaga meu deus podre cara brabo...,Negativo
a zaga o jogo voando esse juiz cara,Positivo
assim monstro aula ne monstro,Positivo
aula assim o jogo tava hoje,Positivo
velhoo a diretoria nada oo tecnico,Positivo
pqp aula vergonha o goleiro velho podre...,Negativo
meu deus tava nada,Positivo
ne esse juiz esse cara...,Positivo
entregou a diretoria,Negativo
nada entregou cara,Negativo
esse juiz lindo,Positivo
pessimoo amador oo jogo,Positivo
ruim o jogo craque aula ne,Negativo
o ataque aula o goleiro meu deus lindo,Negativo
amador o jogo,Negativo
esse cara jogou mt mano,Negativo
mano pqp ne a zaga a diretoria,Positivo
craque hj monstro brabo velho,Positivo
entregou genio o tecnico o tecnico fez...,Negativo
a diretoria o time o tecnico a zaga monstro tava,Positivo
brabo fez hj,Positivo
craque pipocou amassou braboo velho,Positivo
entregou hoje vergonha hoje pqp,Negativo
horrivel mano,Negativo
tudo fez podre o goleiro,Negativo
ruim jogou mt lindo tudo,Positivo
meu deus oo goleiroo ne mds,Negativo
cara amassou,Positivo
amador genio jogou mt esse juiz meu deus rs,Positivo
meu deus ruim amador o tecnico amador entregou,Negativo
a diretoria amassou cara o jogo monstro,Positivo
o tecnico o jogo tava,Positivo
o time mds genio rs,Positivo
fez tava rs,Negativo
fez o time vergonha,Negativo
mds esse cara entregou,Negativo
lixo monstro esse juiz aula lindo monstro rs,Positivo
amassou amassou o tecnico hj tava voando,Positivo
esse juiz o goleiro esse juiz,Negativo
a zaga mds brabo craque,Positivo
o tecnico o tecnico o time rs,Negativo
fez tudo o tecnico o jogo o tecnico,Negativo
hoje nada pessimo podre fez gigante...,Negativo
lindo slc,Negativo
horrivel mds pessimo,Negativo
craque amassou entregou meu deus aula,Positivo
ruim nada rs,Negativo
hj hj esse juiz,Negativo
voando voando esse cara aula hj...,Positivo
mds hoje o tecnico fez,Positivo
voando o jogo o tecnico,Positivo
mds a diretoria horrivel aula ruim,Negativo
mds ne pipocou pessimo kkkk,Negativo
cara jogou mt...,Negativo
a zaga lixo craque lindo nada,Positivo
monstroo a zaga aula esse cara podre,Positivo
lixo pessimo esse juiz,Negativo
oo tecnicoo oo goleiro,Positivo
o time pessimo a zaga lixo,Positivo
esse juiz hj oo goleiroo oo jogoo jogou mt esse cara,Positivo
cara o tecnico mds mano mds...,Negativo
a zaga assim gigante tava,Positivo
oo goleiroo amador,Negativo
craque assim ne,Negativo
o tecnico ruim,Negativo
velho monstro lindo,Positivo
a diretoria assim cara,Positivo
o jogo amador gigante esse cara pessimo ??,Positivo
bagre jogou mt manoo hoje,Positivo
cara gigante kkkk,Positivo
esse juiz tava entregou lindo gigante,Positivo
o goleiro o goleiro...,Positivo
hj cara,Negativo
velho lixo o goleiro,Positivo
a zaga jogou mt tudo velho,Positivo
tava hj ruim tava meu deus...,Positivo
esse cara tava esse cara a zaga a diretoria oo time,Negativo
gigante o goleiro o ataque velho o time hoje,Positivo
pqp meu deus aula vergonha,Positivo
nada brabo kkkk,Positivo
mds voandoo oo goleiro kkkk,Positivo
meu deus esse cara,Negativo
mano lindo,Positivo
voando o tecnico,Positivo
hj hoje craque,Positivo
cara meu deus craque,Negativo
assim amador entregou esse juiz...,Negativo
amassou bagre hoje,Positivo
meu deus a zaga genio ne esse cara,Positivo
nada jogou mt o time jogou mt o ataque,Positivo
a diretoria nada o ataque cara a zaga,Positivo
gigante genio brabo esse cara a diretoria,Positivo
a zaga gigante pessimo hoje,Negativo
cara esse juiz o ataque assim cara podre,Negativo
aula esse juiz hj amassou...,Positivo
genio nada,Negativo
slc a zaga jogou mt aula ne brabo,Positivo
voando mds velho meu deus hj,Positivo
o tecnico mds mds o time,Positivo
assim a diretoria,Positivo
meu deus o tecnico gigante genio o tecnico,Positivo
pessimo o jogo pessimo fez o ataque,Negativo
pqp slc,Negativo
pqp o tecnico amassou voando vergonha mds,Positivo
oo ataque slc mds pessimoo oo tecnicoo a zaga,Negativo
ne o time,Negativo
fez lixo,Positivo
ruim braboo nada,Positivo
brabo o ataque aula o goleiro monstro nada,Positivo
meu deus esse cara voandoo oo tecnicoo hj,Positivo
amassou voando voando monstro monstro monstro!!!,Positivo
entregou hj o goleiro genio monstro amador,Negativo
vergonha meu deus oo time lixoo pqp,Negativo
ruim mano a zaga,Negativo
jogou mt jogou mt ??,Positivo
jogou mt velho hj!!!,Positivo
o goleiro a diretoria,Negativo
lixo entregou cara,Negativo
amassou pessimo,Negativo
meu deus assim esse juiz!!!,Negativo
ne meu deus amassou mano esse juiz nada,Negativo
tudo meu deus tava voando,Negativo
cara hoje,Positivo
voando o tecnico tudo meu deus,Negativo
monstro hoje hj pipocou,Positivo
tava slc amassou mano entregou mano,Positivo
cara velho o tecnico entregou,Positivo
hj manoo cara voandoo hoje,Negativo
a diretoria nada o time brabo nada,Positivo
voandoo pessimoo cara fez monstroo brabo ??,Positivo
cara esse cara,Negativo
entregou cara,Negativo
monstroo podre ne monstro,Positivo
a diretoria a zaga amassou lindoo a zaga kkkk,Positivo
pessimo o tecnico lindo,Positivo
craque slc o ataque a zaga hoje a diretoria,Positivo
pqp cara entregou pipocou bagre,Negativo
brabo ne,Negativo
esse juiz bagre,Negativo
nada horrivel,Negativo
oo tecnicoo oo ataque voandoo oo goleiro,Positivo
fez fez brabo o time bagre pessimo,Positivo
ruim o ataque o tecnico rs,Positivo
amassou slc o tecnico monstro mds,Positivo
nada esse juiz o goleiro kkkk,Negativo
pipocou amassou pipocou lixo rs,Negativo
a zaga oo tecnicoo oo tecnicoo tudoo horrivel amador,Negativo
nada mds esse juiz rs,Positivo
craque monstroo assim aula braboo oo jogo,Positivo
esse cara o tecnico meu deus,Positivo
genio pqp o jogo nada,Positivo
vergonha pqp pessimo...,Negativo
tudoo velhoo pipocou pipocou cara lixo!!!,Negativo
esse juiz amador,Positivo
podre o jogo pqp horrivel o jogo o time,Negativo
o goleiro hoje velho tava,Positivo
pessimoo esse cara pessimoo horrivel cara hj,Negativo
jogou mt ruim voando,Positivo
pessimo o jogo lindo,Negativo
nada meu deus monstro ??,Positivo
o goleiro mds lixo cara nada,Negativo
oo goleiroo mds oo goleiroo ruim esse cara oo time,Negativo
o jogo fez mano,Positivo
voandoo pqp,Positivo
lindoo hj esse cara vergonha genio,Positivo
oo tecnicoo pipocou esse cara ruim,Negativo
bagre tava!!!,Positivo
esse juiz pessimo entregou a zaga,Negativo
hj genio voando cara craque rs,Positivo
jogou mt genio o time hj esse juiz...,Negativo
meu deus voando,Positivo
pqp monstro aula velho lindo brabo!!!,Positivo
tava nada gigante assim hoje esse juiz,Positivo
bagre pqp entregou o tecnico o jogo pqp,Positivo
assim hj pessimo nada,Positivo
meu deus pipocou o time,Negativo
horrivel o tecnico,Negativo
hj esse cara,Negativo
assim nada tava,Positivo
nada entregou hoje pessimoo assim velho!!!,Negativo
tudo o ataque pessimo meu deus,Negativo
o goleiro amassou o goleiro assim monstro hoje,Positivo
genio slc esse juiz,Positivo
fez o jogo hoje o tecnico brabo esse juiz,Positivo
pipocou o goleiro slc hj o tecnico,Negativo
tudoo monstroo oo goleiroo pqp,Positivo
mds tudo,Positivo
o goleiro o ataque,Positivo
esse juiz o tecnico o time o tecnico ne,Negativo
slc pessimo amador o jogo ??,Negativo
hoje monstro o goleiro o tecnico,Positivo
amador ruim ruim podre pipocou kkkk,Negativo
lixo hoje esse juiz o ataque vergonha podre!!!,Negativo
cara o time o ataque gigante o time amassou,Negativo
hj fez podre,Negativo
amassou fez horrivel!!!,Negativo
fez o time podre o tecnico brabo esse cara,Positivo
a zaga a diretoria o jogo gigante,Positivo
oo jogoo bagre cara,Negativo
entregou tava amador!!!,Negativo
o tecnico tava aula pipocou ??,Negativo
meu deus cara,Positivo
hoje oo time,Positivo
voando voando voando!!!,Positivo
esse juiz horrivel cara craque lindoo fez,Positivo
cara craque,Positivo
meu deus braboo a diretoria,Positivo
oo jogoo aula manoo nada horrivel craque,Positivo
velhoo podre oo ataque horrivel ruim vergonha rs,Negativo
podre o time genio o ataque,Positivo
pessimo hoje bagre vergonha meu deus amassou rs,Negativo
podre esse juiz esse juiz entregou esse juiz pessimo,Negativo
hj oo goleiroo esse cara a zaga,Positivo
oo time podre,Negativo
assim amador,Negativo
monstroo craque esse juiz braboo pqp fez,Positivo
jogou mt podre brabo o jogo voando esse cara,Positivo
lixo mano podre meu deus,Negativo
o jogo jogou mt,Negativo
oo jogoo meu deus oo time,Negativo
o time esse cara cara amador o time,Negativo
meu deus a diretoria esse cara meu deus ne,Positivo
genio a diretoria,Positivo
o tecnico fez tudo o time aula,Negativo
o ataque hj hoje amador bagre podre kkkk,Negativo
esse juiz craque craque pqp,Positivo
assim esse cara hj vergonha,Negativo
hj pipocou mds,Negativo
o ataque a zaga slc o tecnico,Negativo
bagre slc mds hoje horrivel podre,Positivo
craque bagre,Negativo
cara a zaga nada amassou,Positivo
pipocou jogou mt lixo a diretoria velho,Negativo
hj pessimo,Negativo
lixoo oo ataque gigante ??,Negativo
monstro genio slc o ataque cara esse cara,Positivo
vergonha gigante pqp horrivel o jogo craque,Positivo
manoo oo tecnico,Positivo
voando nada,Positivo
cara lixo a zaga,Negativo
entregou vergonha tudo meu deus,Negativo
bagre pessimo brabo tava jogou mt rs,Positivo
a diretoria lindo,Positivo
brabo voando o ataque o jogo,Positivo
nada hj tudo horrivel amador hj rs,Negativo
lindo craque brabo o jogo...,Positivo
vergonha pipocou gigante pqp hoje,Negativo
fez esse juiz oo jogoo hoje jogou mt rs,Positivo
aula oo jogoo oo time,Positivo
hj o jogo bagre esse cara,Negativo
o time gigante fez cara entregou,Negativo
meu deus braboo assim,Positivo
slc brabo bagre amador o jogo bagre rs,Negativo
monstro meu deus o ataque,Positivo
jogou mt mds pqp lindo voando nada,Positivo
amador slc o goleiro slc vergonha,Positivo
slc esse cara pipocou...,Negativo
craque voandoo jogou mt nada craque rs,Positivo
monstro gigante esse cara o ataque amador,Negativo
ruim gigante,Positivo
esse juiz esse cara a zaga a diretoria tava amador,Positivo
slc mano o goleiro ??,Negativo
assim meu deus,Positivo
velho o goleiro a diretoria pessimo rs,Positivo
a zaga hoje slc tudo,Positivo
o jogo o goleiro,Negativo
entregou jogou mt tudoo oo jogoo ruim hj,Positivo
voandoo oo ataque,Positivo
monstroo aula,Positivo
mano esse cara jogou mt,Positivo
craque a zaga esse cara slc,Positivo
tudo pqp horrivel!!!,Positivo
monstro craque gigante amassou mano meu deus,Positivo
o jogo velho amador gigante,Positivo
o time horrivel assim a zaga,Negativo
o ataque pqp,Negativo
pqp o jogo o tecnico,Positivo
lindo esse juiz amassou craque,Positivo
gigante oo time,Positivo
craque genio,Positivo
o ataque horrivel,Positivo
o ataque esse juiz o tecnico assim a zaga amassou,Negativo
a diretoria o time,Positivo
o tecnico podre slc horrivel a zaga,Negativo
o ataque voando lindo tudo,Negativo
craque lixo a diretoria hoje pqp mano ??,Positivo
genio meu deus esse juiz podre mds gigante,Positivo
craque monstro,Positivo
podre entregou,Negativo
meu deus oo tecnico ??,Positivo
hj hoje mano,Negativo
craque assim o jogo,Positivo
hoje a zaga horrivel hj,Positivo
bagre pipocou fez voandoo tava amador kkkk,Negativo
tava pessimo pipocou brabo,Negativo
mano lindo voando lindo meu deus pipocou,Positivo
pipocou esse cara esse juiz cara tudo,Positivo
mds esse cara,Negativo
a diretoria lixo monstro!!!,Negativo
o tecnico gigante kkkk,Negativo
brabo nada a diretoria cara hoje,Positivo
o ataque horrivel podre,Positivo
lindo bagre,Negativo
esse cara o tecnico horrivel entregou slc mano,Negativo
lindo entregou brabo meu deus genio,Positivo
lindo esse cara hoje,Negativo
mds bagre tudo,Negativo
gigante brabo vergonha monstro bagre,Positivo
gigante oo time lindoo genioo hj,Positivo
pqp o ataque pipocou fez,Negativo
o jogo esse cara craque,Positivo
a diretoria a diretoria o time,Negativo
hoje horrivel cara,Negativo
voando hoje tava o goleiro mano fez,Positivo
a diretoria meu deus!!!,Negativo
o time meu deus horrivel mano voando hj,Negativo
voando meu deus,Negativo
horrivel aula oo tecnicoo a diretoria amador oo jogo,Positivo
a zaga ne pipocou o jogo meu deus hj,Positivo
fez cara,Negativo
ruim brabo amador pessimo entregou,Negativo
o ataque cara o jogo voando brabo,Positivo
tudoo hj rs,Positivo
cara ne cara pipocou ??,Positivo
hj tava o ataque o jogo,Positivo
vergonha pipocou gigante ??,Negativo
hj o ataque fez,Positivo
pqp o time pipocou pqp o goleiro...,Negativo
esse juiz oo ataque,Negativo
lixoo pessimoo aula vergonha,Positivo
mds esse juiz bagre hj cara,Negativo
a zaga a diretoria mano,Negativo
pessimo pqp ruim pipocou mano genio,Negativo
hj velho mano,Negativo
a zaga ne o ataque assim o tecnico,Negativo
o time meu deus a zaga,Positivo
o ataque velho ruim bagre podre,Negativo
o time fez nada,Positivo
ne voando,Negativo
meu deus esse cara pipocou nada,Positivo
genio pessimo tudo monstro...,Negativo
esse juiz esse cara pessimo,Negativo
aula slc a zaga lixo esse juiz pqp,Negativo
ruim bagre o time fez mds esse juiz,Negativo
hj genio o ataque pipocou o tecnico,Positivo
podre monstro mds mds!!!,Negativo
esse cara o ataque podre hoje ruim o tecnico,Negativo
o jogo amador entregou tava o tecnico,Negativo
horrivel horrivel esse cara pqp,Negativo
tava a diretoria o jogo,Negativo
meu deus o tecnico assim,Negativo
mano hj esse juiz...,Positivo
o tecnico slc,Positivo
vergonha nada meu deus o time podre slc,Negativo
hoje hj meu deus,Negativo
horrivel pipocou tudo ne craque,Negativo
o tecnico esse juiz o tecnico,Positivo
assim pessimo pessimo voando slc podre,Negativo
monstro meu deus,Positivo
brabo hj o tecnico a diretoria hj nada,Positivo
gigante pqp...,Positivo
o ataque craque brabo nada mds brabo,Positivo
hj entregou,Positivo
fez assim ruim nada monstroo assim,Positivo
jogou mt gigante,Positivo
vergonha velho,Negativo
pqp mano tava genio,Negativo
a zaga a zaga hj horrivel pqp podre,Negativo
voandoo gigante pipocou oo jogoo oo ataque craque,Positivo
o ataque gigante o jogo o ataque lindo cara,Positivo
o tecnico o time o tecnico mano jogou mt bagre kkkk,Positivo
amassou gigante,Positivo
craque entregou oo ataque esse juiz manoo aula,Positivo
pessimoo lixoo esse cara,Negativo
podre nada,Negativo
podre velho tava o time ??,Negativo
pqp genio meu deus,Negativo
jogou mt cara amador ruim entregou...,Negativo
lixo jogou mt,Negativo
o tecnico tava rs,Positivo
nada gigante craque a diretoria amassou,Positivo
velhoo lindoo esse juiz,Negativo
mano lindo lindo jogou mt o ataque voando,Positivo
o jogo hj esse cara entregou o jogo pipocou,Negativo
gigante ne vergonha genio lixo,Positivo
a diretoria o ataque esse cara tava,Positivo
o ataque voando fez o goleiro podre,Negativo
bagre slc esse cara o jogo podre,Negativo
cara esse juiz podre,Negativo
esse cara hoje o jogo amador fez amador,Negativo
lixoo amador cara entregou esse cara fez,Negativo
brabo podre a zaga,Negativo
amador voando ??,Negativo
fez craque assim genio genio monstro kkkk,Positivo
mano slc o tecnico hoje bagre ??,Positivo
a zaga esse cara vergonha mano,Negativo
vergonha esse juiz o ataque craque,Positivo
a diretoria meu deus esse cara oo jogoo vergonha oo time,Negativo
esse juiz a diretoria genio o goleiro,Positivo
jogou mt esse juiz a diretoria ruim pipocou kkkk,Negativo
bagre jogou mt esse cara jogou mt!!!,Positivo
o tecnico pipocou cara gigante vergonha,Negativo
jogou mt hoje bagre hoje genio,Positivo
oo ataque aula oo goleiroo mano kkkk,Positivo
vergonha a zaga gigante,Positivo
fez o goleiro o goleiro,Positivo
podre genio podre,Positivo
mds pqp,Negativo
assim o jogo o time fez,Negativo
a diretoria voando,Positivo
genio esse juiz nada pessimo pipocou craque,Positivo
meu deus brabo,Positivo
entregou podre mano pqp o tecnico ??,Positivo
ruim monstro horrivel esse juiz o jogo,Positivo
vergonha esse juiz meu deus,Negativo
brabo assim lixo assim,Negativo
o tecnico meu deus o tecnico ne o tecnico,Positivo
jogou mt fez,Positivo
a zaga aula amador lindo jogou mt,Positivo
o jogo horrivel ??,Negativo
nada ne assim,Positivo
meu deus pipocou monstro,Negativo
pqp meu deus oo time gigante oo goleiroo voando,Positivo
pipocou hj horrivel lixo monstro,Negativo
a zaga lindo,Positivo
tava pessimo assim,Negativo
mano meu deus,Positivo
mds pessimo ne,Positivo
pipocou gigante bagre lixo,Negativo
esse juiz lindo a diretoria brabo velho,Positivo
bagre pipocou hj tava,Negativo
horrivel voando pipocou,Positivo
pqp entregou horrivel ruim,Negativo
slc o time velho vergonha horrivel craque,Positivo
amador esse juiz esse juiz assim a zaga,Positivo
manoo ruim oo goleiroo oo time podre jogou mt,Negativo
a zaga pipocou amassou genio o ataque ne ??,Positivo
hoje pqp ??,Negativo
craque genioo esse juiz voandoo tava,Negativo
cara a zaga aula brabo horrivel monstro,Positivo
tudo tava o goleiro esse juiz esse cara velho,Negativo
a diretoria lixo amador,Negativo
assim bagre meu deus podre nada hj kkkk,Negativo
o time pqp,Negativo
mds lixo,Negativo
tudo gigante!!!,Positivo
amador mds o ataque tudo,Positivo
velho tudo monstro,Negativo
brabo esse cara o ataque esse cara o tecnico lixo,Negativo
gigante o time craque,Positivo
amador a zaga meu deus lixo,Negativo
hoje mds vergonha o tecnico!!!,Negativo
hoje craque aula craque a diretoria kkkk,Positivo
cara esse juiz,Positivo
ne gigante a zaga,Positivo
slc mano velho tudo o time esse juiz,Negativo
mds o jogo esse juiz entregou,Negativo
a zaga ruim slc pessimoo oo tecnico,Negativo
a diretoria o goleiro voando a diretoria fez brabo,Positivo
amador o ataque amador bagre,Negativo
cara bagre a zaga horrivel oo ataque amassou,Negativo
hj tava tava aula,Positivo
esse cara assim esse juiz,Negativo
fez tava craque,Positivo
o time ne tudo o time,Positivo
tava monstro a diretoria nada velho bagre,Negativo
o tecnico nada craque,Positivo
horrivel fez brabo,Positivo
o goleiro pipocou hj,Negativo
tudo o tecnico mano o tecnico bagre!!!,Positivo
monstroo lixo!!!,Positivo
a zaga meu deus rs,Positivo
bagre o goleiro tava vergonha a zaga,Positivo
mds mds,Negativo
pqp mds mano o jogo o time slc,Positivo
amador pessimo tudo voando,Negativo
horrivel esse juiz horrivel mano hj,Negativo
a zaga o tecnico o tecnico esse juiz o tecnico esse cara kkkk,Positivo
gigante tudo cara,Positivo
entregou mano hj monstro pessimo!!!,Positivo
horrivel oo ataque pessimoo pipocou braboo lixo,Negativo
nada craque meu deus cara genio,Positivo
oo jogoo entregou,Negativo
velho a zaga esse juiz,Positivo
o jogo voando jogou mt genio aula o time,Positivo
tudo bagre hj podre mds o time,Negativo
hj hj tava ??,Positivo
oo ataque fez oo jogoo hj oo tecnico,Negativo
esse cara horrivel esse juiz,Negativo
pessimo cara vergonha...,Negativo
o time voando o jogo craque,Negativo
horrivel lindo,Positivo
amassou slc genioo amassou oo goleiroo esse juiz ??,Positivo
podre o goleiro,Negativo
esse cara monstro assim,Negativo
slc a zaga hoje,Negativo
a zaga tava o goleiro,Positivo
jogou mt tudo entregou monstro o jogo,Negativo
cara voando o goleiro aula mano,Positivo
bagre amador podre,Negativo
jogou mt oo ataque oo time hj monstro,Positivo
o ataque mano a diretoria brabo,Positivo
tava meu deus fez cara,Negativo
horrivel o ataque,Positivo
o time podre pipocou lindo podre a zaga,Negativo
aula genio o tecnico pipocou brabo,Positivo
assim entregou entregou manoo vergonha oo tecnico kkkk,Negativo
o time entregou,Negativo
gigante pqp slc o jogo tudo,Positivo
aula mano jogou mt,Positivo
monstro lixo pipocou hoje mds amassou ??,Positivo
pipocou hj cara mds pessimo bagre,Negativo
bagre jogou mt a diretoria hoje a diretoria,Negativo
voando podre...,Negativo
nada craque craque jogou mt brabo o tecnico,Positivo
craque o jogo assim hj brabo,Negativo
esse juiz genio kkkk,Positivo
genio lindo amador tava,Positivo
esse cara esse juiz horrivel o jogo,Positivo
o goleiro esse cara assim amador o jogo,Negativo
brabo ne jogou mt assim hj mds,Positivo
genio o time amador,Negativo
hj cara voando hoje genio horrivel ??,Negativo
voando tava pessimo,Positivo
hj tava aula,Positivo
o tecnico a zaga kkkk,Negativo
amassou o jogo,Negativo
o time hoje!!!,Positivo
tudo o goleiro cara rs,Negativo
tava o jogo ruim,Positivo
a zaga amassou,Positivo
lindo o jogo vergonha podre bagre vergonha,Positivo
hoje horrivel hj craque lindo,Positivo
velho fez slc esse juiz,Positivo
o jogo meu deus genio pqp,Negativo
oo tecnicoo cara,Positivo
horrivel amador nada monstro velho,Negativo
entregou genio,Negativo
ruim lixo,Negativo
lindoo a diretoria oo jogoo fez,Positivo
velho slc,Positivo
a zaga craque hj,Positivo
horrivel nada bagre horrivel,Negativo
meu deus pessimo o time,Positivo
monstro tudo monstro gigante lixo,Positivo
gigante mds o tecnico brabo o goleiro...,Positivo
amador pipocou fez,Negativo
hoje braboo esse juiz tudoo hoje slc,Positivo
meu deus monstro monstro tudo,Positivo
meu deus bagre,Positivo
hoje horrivel bagre,Negativo
esse juiz tudo,Positivo
o jogo o tecnico ne ruim,Positivo
tava o jogo o ataque ruim o ataque,Positivo
amassou vergonha lixo hj,Negativo
ruim oo tecnicoo podre oo ataque,Negativo
meu deus pqp,Negativo
brabo esse cara lindo podre a zaga,Positivo
pessimo o tecnico o goleiro ruim velho,Negativo
aula assim a diretoria velho!!!,Negativo
jogou mt entregou tava esse juiz podre kkkk,Negativo
nada amador ne,Positivo
entregou tudo pqp mds o tecnico...,Negativo
amador o ataque cara pessimo voando,Positivo
jogou mt oo time oo tecnicoo oo jogoo braboo oo goleiro,Positivo
meu deus o ataque o jogo assim,Positivo
genio meu deus o tecnico,Negativo
o ataque amador podre mano nada,Negativo
pipocou oo goleiroo oo time,Negativo
